job_title,ai_impact,task_count,ai_model,ai_workload_ratio,domain_area
Strategy Consultant,45%,207,1907,0.1085474567,Supply Chain & Logistics
Assistant Brand Manager,45%,833,2992,0.2784090909,Law Enforcement
Assistant Marketing Manager,45%,841,3003,0.2800532801,Construction
Associate Brand Manager,45%,834,2991,0.2788365095,Sales & Marketing
Associate Marketing Manager,45%,834,2992,0.2787433155,Hospitality
Brand Manager,45%,862,2975,0.2897478992,Communication & PR
Brand Marketing Manager,45%,862,2976,0.2896505376,Data & IT
Director Of Digital Marketing,45%,847,2963,0.2858589268,Administrative & Clerical
Director Of Marketing,45%,792,2879,0.2750955193,Leadership & Strategy
Marketing,45%,863,3239,0.2664402593,Medical & Healthcare
Marketing Account Executive,45%,860,3234,0.2659245516,Supply Chain & Logistics
Marketing Account Manager,45%,866,3262,0.2654812998,Law Enforcement
Marketing Director,45%,885,3293,0.268751898,Construction
Marketing Executive,45%,894,3311,0.2700090607,Sales & Marketing
Marketing Manager,45%,893,3300,0.2706060606,Hospitality
Senior Marketing Manager,45%,226,2031,0.1112752339,Communication & PR
Social Media Marketing Manager,45%,256,2272,0.1126760563,Data & IT
Agile Project Manager,45%,629,2096,0.3000954198,Administrative & Clerical
Director Of Product Management,45%,707,2321,0.3046100819,Leadership & Strategy
Pmo Analyst,45%,204,1871,0.1090326029,Medical & Healthcare
Product Development Manager,45%,226,1981,0.1140837961,Supply Chain & Logistics
Project Analyst,45%,207,1901,0.1088900579,Law Enforcement
Project Control Analyst,45%,200,1845,0.108401084,Construction
Project Management Consultant,45%,213,1949,0.1092868138,Sales & Marketing
Director Of Ecommerce,45%,821,2899,0.2832011038,Hospitality
Ecommerce Manager,45%,904,3345,0.2702541106,Communication & PR
Merchandise Buyer,45%,677,2544,0.2661163522,Data & IT
Autocad Draftsman,45%,539,2297,0.2346538964,Administrative & Clerical
Concrete Pump Operator,45%,156,700,0.2228571429,Leadership & Strategy
Land Surveyor,45%,323,1531,0.2109732201,Medical & Healthcare
Claims Analyst,45%,732,2684,0.2727272727,Supply Chain & Logistics
Claims Investigator,45%,733,2717,0.2697828487,Law Enforcement
Insurance Appraiser,45%,394,1396,0.282234957,Construction
Insurance Investigator,45%,406,1386,0.2929292929,Sales & Marketing
Insurance Underwriter,45%,464,1553,0.2987765615,Hospitality
Band Director,45%,292,1241,0.2352941176,Communication & PR
Education Specialist,45%,462,1578,0.2927756654,Data & IT
Environmental Educator,45%,410,1386,0.2958152958,Administrative & Clerical
Training Manager,45%,238,2083,0.1142582813,Leadership & Strategy
Book Reviewer,45%,602,2164,0.2781885397,Medical & Healthcare
Clinical Research,45%,599,1940,0.3087628866,Supply Chain & Logistics
Dietetic Technician,45%,374,1337,0.2797307405,Law Enforcement
Drug Safety Associate,45%,529,1667,0.3173365327,Construction
Formulation Scientist,45%,449,1551,0.2894906512,Sales & Marketing
Healthcare Management,45%,505,1644,0.3071776156,Hospitality
Escrow Assistant,45%,461,1536,0.3001302083,Communication & PR
Biomedical Technician,45%,514,2125,0.2418823529,Data & IT
Chemical Lab Technician,45%,503,2116,0.2377126654,Administrative & Clerical
Laboratory Technician,45%,425,1462,0.2906976744,Leadership & Strategy
Radiographer,45%,75,961,0.07804370447,Medical & Healthcare
Research Analyst,45%,199,1840,0.1081521739,Supply Chain & Logistics
Account Analyst,45%,623,2143,0.2907139524,Law Enforcement
Accounting Analyst,45%,619,2132,0.2903377111,Construction
Accounts Payable Analyst,45%,622,2145,0.28997669,Sales & Marketing
Billing Clerk,45%,621,2136,0.2907303371,Hospitality
Billing Coordinator,45%,620,2134,0.2905342081,Communication & PR
Billing Representative,45%,619,2142,0.2889822596,Data & IT
Billing Specialist,45%,620,2135,0.2903981265,Administrative & Clerical
Billing Supervisor,45%,606,2100,0.2885714286,Leadership & Strategy
Finance Administrator,45%,563,1767,0.3186191285,Medical & Healthcare
Finance Assistant,45%,560,1762,0.3178206583,Supply Chain & Logistics
Finance Associate,45%,559,1758,0.3179749716,Law Enforcement
Finance Consultant,45%,561,1772,0.3165914221,Construction
Financial Assistant,45%,566,1763,0.3210436756,Sales & Marketing
Financial Associate,45%,563,1755,0.3207977208,Hospitality
Financial Coordinator,45%,571,1820,0.3137362637,Communication & PR
Financial Representative,45%,539,1715,0.3142857143,Data & IT
Financial Services Representative,45%,538,1714,0.3138856476,Administrative & Clerical
Loan Specialist,45%,485,1578,0.3073510773,Leadership & Strategy
Staff Auditor,45%,184,1848,0.09956709957,Medical & Healthcare
Tax Manager,45%,186,1880,0.09893617021,Supply Chain & Logistics
Valuation Analyst,45%,179,1633,0.109614207,Law Enforcement
Clinical Coordinator,45%,690,2244,0.307486631,Construction
Clinical Support Specialist,45%,592,1892,0.3128964059,Sales & Marketing
Certified Welding Inspector,45%,105,477,0.2201257862,Hospitality
Computer Technician,45%,475,1535,0.3094462541,Communication & PR
General Maintenance Technician,45%,299,1114,0.2684021544,Data & IT
General Service Technician,45%,303,1118,0.271019678,Administrative & Clerical
Industrial Maintenance Mechanic,45%,296,1171,0.2527754056,Leadership & Strategy
Industrial Maintenance Technician,45%,295,1170,0.2521367521,Medical & Healthcare
Service Advisor,45%,192,1798,0.106785317,Supply Chain & Logistics
Cnc Machine Operator,45%,265,980,0.2704081633,Law Enforcement
Inventory Control Supervisor,45%,509,1635,0.3113149847,Construction
Manufacturing Associate,45%,317,1084,0.2924354244,Sales & Marketing
Operator,45%,98,1180,0.08305084746,Hospitality
Order Selector,45%,116,1331,0.0871525169,Communication & PR
Scanner,45%,149,1537,0.09694209499,Data & IT
Pcb Design Engineer,45%,120,1161,0.1033591731,Administrative & Clerical
Pcb Designer,45%,120,1161,0.1033591731,Leadership & Strategy
Service Engineer,45%,157,1594,0.09849435383,Medical & Healthcare
Document Control Specialist,45%,542,1667,0.325134973,Supply Chain & Logistics
Facility Coordinator,45%,465,1530,0.3039215686,Law Enforcement
Implementation Coordinator,45%,552,1760,0.3136363636,Construction
Medical Office Receptionist,45%,422,1434,0.2942817294,Sales & Marketing
Medical Receptionist,45%,422,1434,0.2942817294,Hospitality
Regulatory Affairs Specialist,45%,197,1814,0.1085997795,Communication & PR
Validation Specialist,45%,177,1761,0.1005110733,Data & IT
Bus Driver,45%,80,426,0.1877934272,Administrative & Clerical
Bus Operator,45%,80,426,0.1877934272,Leadership & Strategy
Class A CDL,45%,81,437,0.1853546911,Medical & Healthcare
Company Driver,45%,122,552,0.2210144928,Supply Chain & Logistics
Flatbed Driver,45%,123,556,0.2212230216,Law Enforcement
Local Cdl,45%,124,547,0.226691042,Construction
Local Delivery Driver,45%,130,567,0.2292768959,Sales & Marketing
Local Truck Driver,45%,128,566,0.2261484099,Hospitality
Otr Driver,45%,27,184,0.1467391304,Communication & PR
Owner Operator,45%,46,468,0.09829059829,Data & IT
Parts Delivery Driver,45%,27,183,0.1475409836,Administrative & Clerical
Pizza Delivery Driver,45%,26,181,0.1436464088,Leadership & Strategy
School Bus Driver,45%,25,180,0.1388888889,Medical & Healthcare
Tanker Driver,45%,28,185,0.1513513514,Supply Chain & Logistics
Truck Driver,45%,29,189,0.1534391534,Law Enforcement
Trucker,45%,28,185,0.1513513514,Construction
Casino Manager,45%,463,1765,0.2623229462,Sales & Marketing
Dietary Manager,45%,390,1405,0.2775800712,Hospitality
Food Production Manager,45%,421,1428,0.2948179272,Communication & PR
Gate Agent,45%,331,1172,0.2824232082,Data & IT
Hostess,45%,276,995,0.2773869347,Administrative & Clerical
Hotel Front Desk,45%,381,1361,0.2799412197,Leadership & Strategy
Hotel Receptionist,45%,381,1359,0.2803532009,Medical & Healthcare
Pediatric Oncology Nurse,45%,372,1324,0.2809667674,Supply Chain & Logistics
Chief Investment Officer,45%,528,1845,0.2861788618,Law Enforcement
Nurse Practitioner,45%,365,1268,0.2878548896,Construction
Audio Technician,45%,463,2059,0.22486644,Sales & Marketing
Devops Engineer,45%,552,2063,0.2675714978,Hospitality
Tax Director,45%,542,1943,0.2789500772,Communication & PR
Clinical Nurse Manager,45%,536,1924,0.2785862786,Data & IT
Disability Case Manager,45%,722,2376,0.3038720539,Administrative & Clerical
Insurance Sales Manager,45%,622,2122,0.2931196984,Leadership & Strategy
Medical Practice Manager,45%,609,2055,0.296350365,Medical & Healthcare
Medical Records Specialist,45%,646,2161,0.2989356779,Supply Chain & Logistics
Content Developer,45%,791,3082,0.256651525,Law Enforcement
Corporate Trainer,45%,627,2127,0.2947813822,Construction
Customer Account Manager,45%,756,2300,0.3286956522,Sales & Marketing
Division Order Analyst,45%,626,1831,0.3418896778,Hospitality
Inventory Analyst,45%,806,2656,0.3034638554,Communication & PR
Lot Attendant,45%,230,837,0.27479092,Data & IT
Operation Specialist,45%,871,2745,0.3173041894,Administrative & Clerical
Peoplesoft Consultant,45%,688,2148,0.3202979516,Leadership & Strategy
Process Analyst,45%,708,2107,0.3360227812,Medical & Healthcare
Process Improvement Engineer,45%,669,2022,0.3308605341,Supply Chain & Logistics
Procurement Analyst,45%,690,2048,0.3369140625,Law Enforcement
Social Media Strategist,45%,997,3490,0.2856733524,Construction
Strategic Sourcing Manager,45%,669,2165,0.3090069284,Sales & Marketing
Advertising Sales Representative,45%,817,2532,0.3226698262,Hospitality
Business Development Representative,45%,957,2881,0.3321763277,Communication & PR
Field Sales Representative,45%,695,2258,0.3077945084,Data & IT
Field Service Representative,45%,622,1903,0.3268523384,Administrative & Clerical
Group Sales Manager,45%,795,2555,0.3111545988,Leadership & Strategy
Independent Sales Representative,45%,508,1461,0.34770705,Medical & Healthcare
Medical Sales,45%,554,1580,0.3506329114,Supply Chain & Logistics
Outside Sales,45%,727,2260,0.3216814159,Law Enforcement
Regional Sales Executive,45%,743,2270,0.3273127753,Construction
Retail Sales Representative,45%,674,2203,0.3059464367,Sales & Marketing
Route Sales Representative,45%,485,1626,0.2982779828,Hospitality
Sales Administrator,45%,632,2117,0.2985356637,Communication & PR
Sales Advisor,45%,717,2230,0.3215246637,Data & IT
Sales Representative,45%,736,2273,0.3238011439,Administrative & Clerical
Assistant Nurse Manager,45%,476,1541,0.308890331,Leadership & Strategy
Certified Nurse Assistant,45%,457,1486,0.3075370121,Medical & Healthcare
Graduate Nurse,45%,261,664,0.3930722892,Supply Chain & Logistics
Neonatal Nurse,45%,298,892,0.3340807175,Law Enforcement
Nurse Assistant,45%,321,931,0.3447905478,Construction
Pediatric Nurse,44%,246,964,0.255186722,Sales & Marketing
Field Service Technician,43%,581,1682,0.3454221165,Hospitality
Regulatory Affairs Associate,43%,614,1879,0.3267695583,Communication & PR
Aeronautical Engineer,43%,415,1405,0.2953736655,Data & IT
Agricultural Engineer,43%,449,1471,0.3052345343,Administrative & Clerical
Antenna Engineer,43%,419,1393,0.3007896626,Leadership & Strategy
Avionics Engineer,42%,431,1418,0.3039492243,Medical & Healthcare
Cfd Engineer,42%,384,1169,0.3284858854,Supply Chain & Logistics
Electrical Design Engineer,42%,420,1212,0.3465346535,Law Enforcement
Electrical Designer,42%,415,1217,0.3410024651,Construction
Electronics Engineer,42%,412,1132,0.3639575972,Sales & Marketing
Fea Engineer,42%,384,1080,0.3555555556,Hospitality
Hvac Design Engineer,41%,424,1631,0.2599632128,Communication & PR
Lobby Attendant,40%,233,841,0.2770511296,Data & IT
Night Auditor,40%,469,1428,0.3284313725,Administrative & Clerical
Reservation Agent,40%,476,1597,0.2980588604,Leadership & Strategy
Restaurant Operations Manager,40%,386,1428,0.2703081232,Medical & Healthcare
Restaurant Server,40%,226,963,0.2346832814,Supply Chain & Logistics
Room Attendant,40%,258,959,0.2690302398,Law Enforcement
Room Service Server,40%,203,842,0.2410926366,Construction
Travel Agent,40%,575,2145,0.2680652681,Sales & Marketing
Travel Counselor,40%,565,2101,0.2689195621,Hospitality
Travel Specialist,40%,566,2071,0.2732979237,Communication & PR
Decorator,40%,616,2386,0.2581726739,Data & IT
Youth Development Specialist,40%,475,1830,0.2595628415,Administrative & Clerical
Armed Guard,40%,223,1030,0.2165048544,Leadership & Strategy
Armed Security,40%,233,1050,0.2219047619,Medical & Healthcare
Bodyguard,40%,229,1115,0.2053811659,Supply Chain & Logistics
Crime Analyst,40%,637,1979,0.3218797372,Law Enforcement
Intelligence Officer,40%,530,1542,0.3437094682,Construction
Loss Prevention,40%,457,1439,0.3175816539,Sales & Marketing
Personnel Security Specialist,40%,511,1730,0.2953757225,Hospitality
Privacy Officer,40%,500,1687,0.2963841138,Communication & PR
Public Affairs Specialist,40%,647,2271,0.2848965214,Data & IT
Safety Assistant,40%,395,1446,0.2731673582,Administrative & Clerical
Bi Analyst,40%,815,2531,0.3220071118,Leadership & Strategy
Citrix Engineer,40%,499,1325,0.3766037736,Medical & Healthcare
Desktop Support,40%,658,1981,0.332155477,Supply Chain & Logistics
Desktop Support Specialist,40%,661,1982,0.3335015136,Law Enforcement
Help Desk Specialist,40%,843,2600,0.3242307692,Construction
It Architect,40%,772,2297,0.3360905529,Sales & Marketing
It Support,40%,830,2540,0.3267716535,Hospitality
It Support Analyst,40%,824,2533,0.3253059613,Communication & PR
Junior Systems Administrator,40%,801,2493,0.321299639,Data & IT
Network Architect,40%,778,2346,0.3316283035,Administrative & Clerical
Network Specialist,40%,814,2537,0.3208513993,Leadership & Strategy
Network Support Technician,40%,806,2527,0.3189552829,Medical & Healthcare
Performance Tester,40%,612,1933,0.3166063114,Supply Chain & Logistics
Sap Administrator,40%,671,2130,0.3150234742,Law Enforcement
Sap Security Consultant,40%,689,2156,0.3195732839,Construction
Senior Network Engineer,40%,609,1807,0.3370226895,Sales & Marketing
Service Desk Analyst,40%,772,2319,0.332902113,Hospitality
Sharepoint Consultant,40%,734,2255,0.3254988914,Communication & PR
Solutions Architect,40%,774,2301,0.3363754889,Data & IT
Systems Architect,40%,520,1914,0.2716823406,Administrative & Clerical
Tech Support,40%,636,2458,0.2587469487,Leadership & Strategy
Technology Coordinator,40%,656,2506,0.2617717478,Medical & Healthcare
Telecommunications Analyst,40%,554,2270,0.2440528634,Supply Chain & Logistics
Unloader,40%,278,1128,0.2464539007,Law Enforcement
Warehouse Operator,40%,319,1227,0.2599837001,Construction
Business Consultant,40%,997,2969,0.3358033008,Sales & Marketing
Process Improvement Specialist,40%,795,2413,0.3294653958,Hospitality
Professional Services Consultant,40%,805,2344,0.3434300341,Communication & PR
Solutions Consultant,40%,836,2528,0.3306962025,Data & IT
Strategic Consultant,40%,629,2098,0.2998093422,Administrative & Clerical
Call Center,40%,1064,3265,0.3258805513,Leadership & Strategy
Circulation Manager,40%,633,1823,0.3472298409,Medical & Healthcare
Market Analyst,40%,1044,3370,0.3097922849,Supply Chain & Logistics
Market Research Analyst,40%,1046,3372,0.3102016607,Law Enforcement
Market Researcher,40%,1037,3356,0.3089988081,Construction
Marketing Analyst,40%,1029,3263,0.3153539687,Sales & Marketing
Marketing Research Analyst,40%,1009,3220,0.3133540373,Hospitality
Media Buyer,40%,857,2906,0.2949070888,Communication & PR
Unit Coordinator,40%,564,1968,0.2865853659,Data & IT
Architectural Project Manager,40%,795,2482,0.3203062047,Administrative & Clerical
Assistant Product Manager,40%,853,2632,0.3240881459,Leadership & Strategy
Associate Project Manager,40%,861,2753,0.3127497276,Medical & Healthcare
It Project Coordinator,40%,872,2890,0.3017301038,Supply Chain & Logistics
Junior Project Manager,40%,844,2792,0.3022922636,Law Enforcement
Product Developer,40%,715,2633,0.2715533612,Construction
Project Administrator,40%,636,1972,0.322515213,Sales & Marketing
Project Coordinator,40%,683,2074,0.3293153327,Hospitality
Project Director,40%,613,1953,0.3138760881,Communication & PR
Project Management Assistant,40%,621,1886,0.3292682927,Data & IT
Project Officer,40%,590,1833,0.3218767049,Administrative & Clerical
Project Scheduler,40%,585,1840,0.3179347826,Leadership & Strategy
Project Supervisor,40%,615,1963,0.3132959755,Medical & Healthcare
Courtesy Clerk,40%,218,744,0.2930107527,Supply Chain & Logistics
Deli Clerk,40%,249,755,0.3298013245,Law Enforcement
Floor Supervisor,40%,450,1446,0.3112033195,Construction
Merchandise Coordinator,40%,804,2897,0.2775284777,Sales & Marketing
Autocad Designer,40%,663,2463,0.269183922,Hospitality
Civil Drafter,40%,373,1098,0.339708561,Communication & PR
Dozer Operator,40%,68,280,0.2428571429,Data & IT
Electrical Project Manager,40%,510,1446,0.3526970954,Administrative & Clerical
Estimator,40%,648,2029,0.3193691474,Leadership & Strategy
Heavy Equipment Mechanic,40%,242,924,0.2619047619,Medical & Healthcare
Independent Contractor,40%,522,1454,0.3590096286,Supply Chain & Logistics
Installation Coordinator,40%,588,1814,0.3241455347,Law Enforcement
Pipeline Controller,40%,306,1154,0.2651646447,Construction
Shop Foreman,40%,307,1152,0.2664930556,Sales & Marketing
Claim Analyst,40%,590,1927,0.3061754022,Hospitality
Claim Examiner,40%,579,1913,0.3026659697,Communication & PR
Claims,40%,557,1738,0.3204833142,Data & IT
Claims Adjuster,40%,588,1919,0.3064095883,Administrative & Clerical
Claims Supervisor,40%,600,1988,0.3018108652,Leadership & Strategy
Insurance Clerk,40%,463,1446,0.3201936376,Medical & Healthcare
Netsuite Consultant,40%,730,2157,0.3384330088,Supply Chain & Logistics
Php Developer,40%,566,2178,0.2598714417,Law Enforcement
Php Web Developer,40%,568,2182,0.2603116407,Construction
Sap Abap Developer,40%,615,1838,0.3346028292,Sales & Marketing
Software Trainer,40%,800,2642,0.3028009084,Hospitality
Bi Developer,40%,822,2530,0.3249011858,Communication & PR
Business Developer,40%,984,2898,0.3395445135,Data & IT
Business Objects Developer,40%,871,2669,0.326339453,Administrative & Clerical
Cost Analyst,40%,680,1864,0.364806867,Leadership & Strategy
Erp Analyst,40%,648,1730,0.374566474,Medical & Healthcare
Field Investigator,40%,628,1840,0.3413043478,Supply Chain & Logistics
Fraud Analyst,40%,711,2184,0.3255494505,Law Enforcement
Junior Financial Analyst,40%,792,2669,0.2967403522,Construction
Loss Prevention Detective,40%,415,1381,0.3005068791,Sales & Marketing
Patent Analyst,40%,561,1813,0.3094318809,Hospitality
Planning Analyst,40%,598,1872,0.3194444444,Communication & PR
Clinical Data Associate,40%,862,2525,0.3413861386,Data & IT
Clinical Data Coordinator,40%,859,2499,0.343737495,Administrative & Clerical
Cloud Consultant,40%,772,2262,0.341290893,Leadership & Strategy
Data Center Manager,40%,816,2382,0.3425692695,Medical & Healthcare
Data Specialist,40%,795,2343,0.3393085787,Supply Chain & Logistics
Database Manager,40%,761,2088,0.3644636015,Law Enforcement
Gis Specialist,40%,701,2197,0.3190714611,Construction
Marketing Data Analyst,40%,1027,3220,0.3189440994,Sales & Marketing
Oracle Consultant,40%,716,2140,0.3345794393,Hospitality
Server Engineer,40%,566,1757,0.3221400114,Communication & PR
Ui Designer,40%,691,2693,0.2565911623,Data & IT
User Interface Designer,40%,686,2633,0.2605393088,Administrative & Clerical
Web Designer,40%,667,2649,0.2517931295,Leadership & Strategy
Compensation Specialist,40%,723,2180,0.3316513761,Medical & Healthcare
Hr Analyst,40%,776,2352,0.3299319728,Supply Chain & Logistics
Payroll Administrator,40%,587,1971,0.2978183663,Law Enforcement
Placement Coordinator,40%,566,1772,0.3194130926,Construction
Public Relations,40%,734,2691,0.2727610554,Sales & Marketing
Recruiting Assistant,40%,611,2013,0.303527074,Hospitality
Recruiting Coordinator,40%,613,2010,0.3049751244,Communication & PR
Recruitment Manager,40%,643,2048,0.3139648438,Data & IT
Sales Recruiter,40%,606,1842,0.328990228,Administrative & Clerical
Staffing Consultant,40%,678,2192,0.3093065693,Leadership & Strategy
Staffing Coordinator,40%,684,2278,0.3002633889,Medical & Healthcare
Staffing Manager,40%,682,2269,0.3005729396,Supply Chain & Logistics
Staffing Specialist,40%,685,2281,0.3003068829,Law Enforcement
Technology Trainer,40%,643,2446,0.2628781684,Construction
Workforce Management Analyst,40%,652,2166,0.3010156971,Sales & Marketing
Assistant District Attorney,40%,592,1989,0.2976370035,Hospitality
Associate Attorney,40%,654,2100,0.3114285714,Communication & PR
Contract Attorney,40%,466,1378,0.3381712627,Data & IT
Defense Attorney,40%,462,1253,0.3687150838,Administrative & Clerical
Immigration Attorney,40%,479,1673,0.2863120143,Leadership & Strategy
Immigration Paralegal,40%,531,1890,0.280952381,Medical & Healthcare
Legal Administrative Assistant,40%,531,1910,0.2780104712,Supply Chain & Logistics
Legal Assistant,40%,527,1905,0.2766404199,Law Enforcement
Legal Secretary,40%,532,1909,0.2786799371,Construction
Litigation Associate,40%,502,1701,0.2951205173,Sales & Marketing
Litigation Attorney,40%,503,1699,0.2960565038,Hospitality
Litigation Legal Assistant,40%,553,1927,0.2869745719,Communication & PR
Litigation Paralegal,40%,554,1932,0.2867494824,Data & IT
Real Estate Paralegal,40%,431,1547,0.2786037492,Administrative & Clerical
Senior Paralegal,40%,432,1578,0.2737642586,Leadership & Strategy
Community Outreach Coordinator,40%,934,2874,0.3249826026,Medical & Healthcare
Community Outreach Specialist,40%,926,2851,0.3247983164,Supply Chain & Logistics
Fundraising Manager,40%,867,2659,0.3260624295,Law Enforcement
Outreach Coordinator,40%,901,3233,0.2786885246,Construction
Volunteer,40%,245,926,0.2645788337,Sales & Marketing
Event Producer,40%,936,3182,0.2941546197,Hospitality
Sports Information Director,40%,474,1798,0.2636262514,Communication & PR
Mechanical Designer,40%,485,1864,0.260193133,Data & IT
Mechatronics Engineer,40%,434,1677,0.2587954681,Administrative & Clerical
Noc Engineer,40%,681,2080,0.3274038462,Leadership & Strategy
Office Engineer,40%,461,1743,0.2644865175,Medical & Healthcare
Operating Engineer,40%,380,1509,0.2518223989,Supply Chain & Logistics
Process Control Engineer,40%,482,1584,0.3042929293,Law Enforcement
Procurement Engineer,40%,527,1671,0.315380012,Construction
Project Engineer,40%,505,1613,0.3130812151,Sales & Marketing
Resident Engineer,40%,463,1502,0.3082556591,Hospitality
Rf Design Engineer,40%,415,1405,0.2953736655,Communication & PR
Rf Engineer,40%,419,1418,0.2954866008,Data & IT
Site Engineer,40%,461,1551,0.2972275951,Administrative & Clerical
Storage Engineer,40%,403,1672,0.2410287081,Leadership & Strategy
Supplier Quality Engineer,40%,417,1691,0.2465996452,Medical & Healthcare
Support Engineer,40%,442,1778,0.2485939258,Supply Chain & Logistics
Telecom Engineer,40%,390,1626,0.2398523985,Law Enforcement
Voip Engineer,40%,349,1406,0.2482219061,Construction
Welding,40%,92,444,0.2072072072,Sales & Marketing
Business Coordinator,40%,939,2880,0.3260416667,Hospitality
Documentation Specialist,40%,786,2418,0.3250620347,Communication & PR
Facilities Administrator,40%,673,2177,0.3091410198,Data & IT
Front Office Coordinator,40%,873,2608,0.3347392638,Administrative & Clerical
Incident Manager,40%,707,2183,0.3238662391,Leadership & Strategy
Maintenance Director,40%,399,1357,0.2940309506,Medical & Healthcare
Production Clerk,40%,336,1291,0.2602633617,Supply Chain & Logistics
Records Manager,40%,482,1623,0.2969808996,Law Enforcement
Scheduling Coordinator,40%,509,1599,0.3183239525,Construction
Technical Assistant,40%,625,2560,0.244140625,Sales & Marketing
Virtual Assistant,40%,589,1932,0.3048654244,Hospitality
Box Truck Driver,40%,331,1162,0.2848537005,Communication & PR
Concrete Truck Driver,40%,59,193,0.3056994819,Data & IT
Courier Driver,40%,61,182,0.3351648352,Administrative & Clerical
Driver,40%,59,204,0.2892156863,Leadership & Strategy
Dump Truck Driver,40%,54,164,0.3292682927,Medical & Healthcare
Freight Agent,40%,615,2030,0.302955665,Supply Chain & Logistics
Fuel Truck Driver,40%,58,180,0.3222222222,Law Enforcement
Garbage Truck Driver,40%,58,172,0.3372093023,Construction
Heavy Truck Driver,40%,154,565,0.2725663717,Sales & Marketing
Non Cdl Driver,40%,168,583,0.2881646655,Hospitality
Professional Driver,40%,93,411,0.2262773723,Communication & PR
Route Driver,40%,100,426,0.234741784,Data & IT
Shuttle Bus Driver,40%,93,412,0.2257281553,Administrative & Clerical
Shuttle Driver,40%,95,416,0.2283653846,Leadership & Strategy
Tow Truck Driver,40%,69,360,0.1916666667,Medical & Healthcare
Caterer,40%,630,1975,0.3189873418,Supply Chain & Logistics
Catering Manager,40%,684,2073,0.3299565847,Law Enforcement
Food Service Director,40%,495,1647,0.3005464481,Construction
Front Desk Associate,40%,826,2445,0.3378323108,Sales & Marketing
Guest Services,40%,558,1668,0.3345323741,Hospitality
Hotel Night Auditor,40%,452,1301,0.3474250576,Communication & PR
Lab Aide,40%,287,1031,0.2783705141,Data & IT
Risk Management Specialist,40%,604,1858,0.325080732,Administrative & Clerical
Lease Administrator,40%,635,2107,0.3013763645,Leadership & Strategy
Loss Mitigation Specialist,40%,584,2004,0.2914171657,Medical & Healthcare
Agronomist,40%,460,1594,0.2885821832,Supply Chain & Logistics
Associate Scientist,40%,524,1772,0.2957110609,Law Enforcement
Biological Scientist,40%,475,1721,0.2760023242,Construction
Biological Technician,40%,466,1628,0.2862407862,Sales & Marketing
Biostatistician,40%,567,1874,0.3025613661,Hospitality
Chemical Operator,40%,357,1167,0.3059125964,Communication & PR
Computational Biologist,40%,466,1399,0.3330950679,Data & IT
Environmental Chemist,40%,511,1558,0.3279845956,Administrative & Clerical
Environmental Scientist,40%,521,1566,0.3326947637,Leadership & Strategy
Lab Technologist,40%,375,1584,0.2367424242,Medical & Healthcare
Laboratory Analyst,40%,398,1602,0.2484394507,Supply Chain & Logistics
Radiology Technician,40%,219,861,0.2543554007,Law Enforcement
Research Associate,40%,614,1947,0.3153569594,Construction
Accounting Auditor,40%,680,2109,0.3224276908,Sales & Marketing
Accounts Payable Specialist,40%,713,2244,0.3177361854,Hospitality
Accounts Receivable Specialist,40%,713,2253,0.316466933,Communication & PR
Audit Associate,40%,647,2057,0.3145357316,Data & IT
Billing Analyst,40%,716,2273,0.3150021997,Administrative & Clerical
Budget Manager,40%,676,2240,0.3017857143,Leadership & Strategy
Budget Officer,40%,669,2235,0.2993288591,Medical & Healthcare
CPA,40%,540,1635,0.3302752294,Supply Chain & Logistics
Certified Public Accountant,40%,542,1637,0.3310934637,Law Enforcement
Chartered Accountant,40%,547,1642,0.3331303289,Construction
Collection Manager,40%,583,1844,0.3161605206,Sales & Marketing
Collection Supervisor,40%,578,1919,0.3011985409,Hospitality
Credit Counselor,40%,642,2075,0.3093975904,Communication & PR
Financial Counselor,40%,676,2113,0.3199242783,Data & IT
Financial Reporting Manager,40%,741,2194,0.337739289,Administrative & Clerical
Investment Analyst,40%,764,2456,0.3110749186,Leadership & Strategy
Loan Analyst,40%,750,2337,0.3209242619,Medical & Healthcare
Portfolio Analyst,40%,547,1795,0.304735376,Supply Chain & Logistics
Treasury Analyst,40%,595,2047,0.2906692721,Law Enforcement
Underwriter,40%,706,2654,0.2660135644,Construction
Case Manager,40%,784,2544,0.3081761006,Sales & Marketing
Clinical Supervisor,40%,388,1202,0.3227953411,Hospitality
Health Information Manager,40%,735,2315,0.3174946004,Communication & PR
Healthcare Recruiter,40%,700,2253,0.3106968486,Data & IT
Intake Specialist,40%,628,1833,0.3426077469,Administrative & Clerical
Medical Case Manager,40%,572,1693,0.3378617838,Leadership & Strategy
Medical Information Specialist,40%,765,2450,0.312244898,Medical & Healthcare
Medical Manager,40%,597,1739,0.3433007476,Supply Chain & Logistics
Medical Scheduler,40%,518,1687,0.3070539419,Law Enforcement
Patient Financial Counselor,40%,419,1484,0.2823450135,Construction
Patient Registrar,40%,369,1359,0.2715231788,Sales & Marketing
Patient Service Representative,40%,386,1468,0.2629427793,Hospitality
Patient Service Specialist,40%,394,1479,0.2663962137,Communication & PR
Patient Services Representative,40%,392,1473,0.2661235574,Data & IT
Screener,40%,273,949,0.2876712329,Administrative & Clerical
Criminal Investigator,40%,517,1512,0.3419312169,Leadership & Strategy
Food Inspector,40%,345,1217,0.283483977,Medical & Healthcare
Game Warden,40%,320,1001,0.3196803197,Supply Chain & Logistics
